samples,life_style,ecosystem,habitat,mean_si,richness,diversity
mgm4600900,free-living,soil,forest_soil,0.8265730479920972,2331,0.9815933137927054
mgm4600901,free-living,soil,forest_soil,0.8265711947951417,2356,0.98242381363305
mgm4600904,free-living,soil,forest_soil,0.8096289190391507,2389,0.9820586689137821
mgm4600905,free-living,soil,forest_soil,0.8101269547105884,2021,0.9769293659758984
mgm4600906,free-living,soil,forest_soil,0.8161794950539037,2443,0.9795598927439643
mgm4600907,free-living,soil,forest_soil,0.8142020100904642,2350,0.9786119266376253
mgm4600908,free-living,soil,forest_soil,0.8249551752598048,2407,0.9797755080543178
mgm4600909,free-living,soil,forest_soil,0.8248720714909006,2396,0.9813304609438409
mgm4600910,free-living,soil,forest_soil,0.824218251198313,2366,0.9798259770512622
mgm4600911,free-living,soil,forest_soil,0.8238796608622487,2434,0.9817998557439758
mgm4603270,free-living,sediment,mangrove_sediment,0.7722994704705339,2403,0.9813994065851473
mgm4603402,free-living,sediment,mangrove_sediment,0.7525476483861407,2376,0.982510116232654
mgm4604227,free-living,sediment,lake_sediment,0.786941563872804,2360,0.9824011955095263
mgm4604823,free-living,soil,farm_soil,0.8356434002673121,2317,0.9805910318466216
mgm4604824,free-living,soil,farm_soil,0.8250696396349422,2430,0.9832798049449094
mgm4604825,free-living,soil,farm_soil,0.8442644922088006,2408,0.9821175609705101
mgm4604826,free-living,soil,farm_soil,0.840552850275703,2297,0.9722078383400983
mgm4604828,free-living,soil,farm_soil,0.8649297640393572,2394,0.9821763395478119
mgm4604831,free-living,soil,farm_soil,0.8315180782522339,2368,0.9839094684414373
mgm4604926,free-living,soil,compost,0.8356155425044984,2415,0.9790969797818644
mgm4604927,free-living,soil,compost,0.8334018769164885,2338,0.9813672082880857
mgm4604929,free-living,soil,compost,0.810672931286768,2373,0.9796519696181212
mgm4604932,free-living,soil,compost,0.8434074780939765,2389,0.9783537174818666
mgm4612269,free-living,saline_water,wood_decomposition,0.8881732897888118,2393,0.9791756279118307
mgm4612434,host-associated,animal_host-associated,chyme,0.7976707139964624,2377,0.9805802249521068
mgm4612517,free-living,saline_water,coastal_seawater,0.9053941935524769,2365,0.9750137054932211
mgm4612993,free-living,sediment,continental_slope_sediment,0.8500541213278896,2455,0.9805398925195893
mgm4612994,free-living,sediment,continental_slope_sediment,0.8172793892386256,2416,0.9823950328908898
mgm4612995,free-living,sediment,continental_slope_sediment,0.7966899948859678,2425,0.9773686355619131
mgm4612996,free-living,sediment,continental_slope_sediment,0.791020103631919,2379,0.9787704206423473
mgm4612997,free-living,sediment,continental_slope_sediment,0.7885087490867022,2398,0.9807258895884814
mgm4613010,free-living,saline_water,coastal_seawater,0.8823455597573809,2376,0.982883551132512
mgm4613011,free-living,saline_water,coastal_seawater,0.8845031507087915,2397,0.9826329936551429
mgm4613012,free-living,saline_water,coastal_seawater,0.9049506734195918,2302,0.9821624145371747
mgm4614521,free-living,saline_water,coastal_seawater,0.8715877955095371,2384,0.9848591241953398
mgm4618445,free-living,saline_water,coral_reef_seawater,0.8588695842152504,2420,0.9758378793957077
mgm4618738,free-living,saline_water,coral_reef_seawater,0.8933902526870742,2385,0.9798337755080152
mgm4619682,host-associated,animal_host-associated,animal_feces,0.8248170743329805,2430,0.9817590803014524
mgm4619683,host-associated,animal_host-associated,animal_feces,0.8240024186362057,2419,0.9804010111051569
mgm4620533,free-living,soil,agricultural_soil,0.8223685852145965,2385,0.9811656254918426
mgm4620726,host-associated,plant_associated,plant-associated_hypersaline_water,0.8308662035707203,2382,0.9846471094750612
mgm4620727,host-associated,plant_associated,plant-associated_hypersaline_water,0.8487671029548324,2230,0.9831915218556813
mgm4620728,host-associated,plant_associated,plant-associated_hypersaline_water,0.8150605833990113,2095,0.9815345085315789
mgm4620729,host-associated,plant_associated,plant-associated_hypersaline_water,0.8261718493316477,2384,0.9811830923075964
mgm4620730,host-associated,plant_associated,plant-associated_hypersaline_water,0.7997499835870194,2321,0.9829419962282977
mgm4620731,host-associated,plant_associated,plant-associated_hypersaline_water,0.8062729757886988,2132,0.9790075556805911
mgm4620732,host-associated,plant_associated,plant-associated_hypersaline_water,0.8755558817939031,2381,0.9830296825339631
mgm4620733,host-associated,plant_associated,plant-associated_hypersaline_water,0.83707794117694,2370,0.9761355449789538
mgm4620734,host-associated,plant_associated,plant-associated_hypersaline_water,0.8816403216232324,2321,0.978554930092718
mgm4620735,host-associated,plant_associated,plant-associated_hypersaline_water,0.8864044122788389,1794,0.9809232028525151
mgm4621360,free-living,soil,forest_soil,0.8374456533670502,2367,0.9808322954693031
mgm4621361,free-living,soil,forest_soil,0.8181691424282902,2435,0.983226320982057
mgm4621362,free-living,soil,forest_soil,0.8147707535913387,2388,0.9631751862987379
mgm4621363,free-living,soil,forest_soil,0.7997029161613338,2430,0.9840572019351895
mgm4621364,free-living,soil,forest_soil,0.8100457718394408,2361,0.9800028616641236
mgm4621365,free-living,soil,forest_soil,0.8006408350314016,2422,0.9804309544312924
mgm4623131,free-living,saline_water,saline_water_biofilm,0.8906755539037303,2341,0.9800237004557085
mgm4623132,free-living,saline_water,saline_water_biofilm,0.8655321042551034,2055,0.8272897820612184
mgm4623133,free-living,saline_water,saline_water_biofilm,0.8744807347986826,1825,0.4775099651209145
mgm4623267,free-living,freshwater,stream,0.831212964590689,2109,0.8663104783746508
mgm4623268,free-living,freshwater,stream,0.7988267256221798,2032,0.6907135287807817
mgm4623269,free-living,freshwater,stream,0.7993295282992835,2004,0.6918260068070579
mgm4623270,free-living,freshwater,stream,0.8679741944036847,2063,0.8702729276235568
mgm4623271,free-living,freshwater,stream,0.8311734052494277,2027,0.8613768790864355
mgm4623272,free-living,freshwater,stream,0.8516604399883403,1944,0.6501367515985627
mgm4623639,free-living,soil,grassland,0.8206782905143047,2365,0.9806386366675579
mgm4623640,free-living,soil,grassland,0.8228720919485941,2365,0.9811599283789861
mgm4623641,free-living,soil,grassland,0.8243787580403396,1764,0.8357753056283728
mgm4623642,free-living,soil,grassland,0.8213387979312993,2163,0.8665356857147575
mgm4623643,free-living,soil,grassland,0.8252395033440806,1756,0.4270501198941138
mgm4623644,free-living,soil,grassland,0.8238626625338091,1922,0.5747993016857926
mgm4623645,free-living,soil,grassland,0.8304639128263555,1864,0.5453843483262022
mgm4623646,free-living,soil,grassland,0.8229655797800908,2153,0.6079443856305924
mgm4623647,free-living,soil,grassland,0.8263462217304623,2197,0.6947443600404714
mgm4623648,free-living,soil,grassland,0.8231107529483201,2304,0.9175852774185523
mgm4623649,free-living,soil,grassland,0.8251575570085803,2252,0.8919728899489673
mgm4623650,free-living,soil,grassland,0.8216886887903609,2188,0.8866091974192499
mgm4623651,free-living,soil,grassland,0.8268104663417698,2315,0.897043017657869
mgm4623652,free-living,soil,grassland,0.8279747027977534,2279,0.8919137396806114
mgm4623653,free-living,soil,grassland,0.8244048518958216,2256,0.9107155389509143
mgm4623654,free-living,soil,grassland,0.8241959952903228,2167,0.8618982200140888
mgm4623655,free-living,soil,grassland,0.8252677133967434,2215,0.8066410091236091
mgm4623656,free-living,soil,grassland,0.8240870528457063,2258,0.8683843702983063
mgm4623657,free-living,soil,grassland,0.8259656322033054,2111,0.7209086600981928
mgm4623658,free-living,soil,grassland,0.8262947539873089,2061,0.8420822618886546
mgm4623659,free-living,soil,grassland,0.8232329954158376,1698,0.9240481157751869
mgm4623660,free-living,soil,grassland,0.8239688431694816,1803,0.8942315483722695
mgm4623661,free-living,soil,grassland,0.8263499786410671,2211,0.9158297274913165
mgm4623662,free-living,soil,grassland,0.8221990277205583,2290,0.8827673820082613
mgm4623663,free-living,soil,grassland,0.8254880765575277,2231,0.8287840710267047
mgm4623664,free-living,soil,grassland,0.8314957734142969,2187,0.8870731200317119
mgm4623666,free-living,soil,grassland,0.8287696366335316,2148,0.8871016621677892
mgm4623667,free-living,soil,grassland,0.8268971588555541,1855,0.842017492154104
mgm4623668,free-living,soil,grassland,0.8236584998559894,2267,0.8881560628578
mgm4623669,free-living,soil,grassland,0.8241660042841381,2322,0.8665696373572606
mgm4623670,free-living,soil,grassland,0.825419222107127,2405,0.870828845980454
mgm4623671,free-living,soil,grassland,0.8313442255057792,2426,0.9489033761962219
mgm4623672,free-living,soil,grassland,0.8233623452241747,2421,0.8912497389546382
mgm4623673,free-living,soil,grassland,0.823551099811322,2352,0.9191848809869113
mgm4623674,free-living,soil,grassland,0.8341860758835902,2409,0.9079824004593622
mgm4623675,free-living,soil,grassland,0.8209106812219453,2346,0.5756789303792383
mgm4623676,free-living,soil,grassland,0.8274373751406835,2339,0.7896447787413252
mgm4623677,free-living,soil,grassland,0.8287023324115697,2362,0.9355297078265421
mgm4623678,free-living,soil,grassland,0.8247537160293716,2313,0.9369529259682113
mgm4623679,free-living,soil,grassland,0.8290509999403652,2313,0.9168979288437852
mgm4623680,free-living,soil,grassland,0.8287454629382176,2325,0.9115814746663508
mgm4623682,free-living,soil,grassland,0.8268482643181337,2370,0.9290957319368626
